term1,term2,clust
﻿10,440,1
10,810,1
10,871,5
10,929,1
10,1087,1
10,1437,3
10,1460,4
10,1593,1
10,2252,1
10,2254,1
10,3261,1
10,3363,2
10,3500,1
10,3681,2
10,4846,2
10,5419,2
10,5496,2
10,5523,1
10,6100,1
10,6655,1
10,6806,3
10,6837,1
10,7128,3
10,7135,3
10,7198,2
10,7233,1
10,7422,1
10,7975,1
10,7980,1
10,8069,2
10,8658,1
10,9304,1
10,9311,1
10,9412,1
10,11555,1
10,11748,1
10,12027,1
10,12173,1
10,12643,1
10,13326,3
10,13568,2
10,13752,1
85,109,5
85,440,2
85,566,1
85,711,1
85,810,2
85,871,5
85,939,3
85,1079,1
85,1593,1
85,2010,4
85,3500,3
85,3535,1
85,3914,2
85,4350,1
85,4357,1
85,4718,1
85,5124,2
85,5419,1
85,7128,1
85,7136,1
85,7198,1
85,7233,1
85,7824,1
85,7929,1
85,7980,2
85,8069,6
85,8432,2
85,9233,1
85,9290,2
85,9778,2
85,11011,1
85,11594,2
85,11982,1
85,12027,1
85,13448,1
85,13568,1
85,13752,1
85,13809,1
85,14541,1
85,14851,3
109,440,1
109,711,1
109,871,2
109,873,1
109,939,2
109,1593,1
109,2010,3
109,2495,2
109,2635,1
109,3018,1
109,3261,1
109,3500,3
109,3681,1
109,4350,1
109,4357,1
109,4411,1
109,5419,2
109,6806,1
109,7128,2
109,7198,2
109,7233,2
109,7929,1
109,7980,2
109,9290,1
109,9778,1
109,10144,1
109,11300,1
109,11555,1
109,11594,1
109,11932,1
109,11982,1
109,12027,2
109,12643,1
109,13411,1
109,13448,1
109,13568,2
109,14851,1
189,427,1
189,440,2
189,566,1
189,871,16
189,939,2
189,1205,1
189,2044,1
189,2164,1
189,2618,1
189,2623,1
189,3500,5
189,3681,1
189,3756,1
189,3762,6
189,4640,1
189,4642,1
189,5116,1
189,5419,1
189,6066,1
189,6540,1
189,6655,1
189,6666,1
189,6837,1
189,7980,4
189,8034,2
189,8658,1
189,8854,1
189,9304,1
189,9311,2
189,10144,1
189,10591,1
189,10847,1
189,10987,1
189,11019,1
189,11316,1
189,11683,1
189,11838,1
189,12643,4
189,12707,1
189,13286,1
189,13411,2
189,13448,2
189,13569,1
189,13865,2
189,13869,2
189,14368,1
189,14371,1
327,440,1
327,871,5
327,873,2
327,939,2
327,1205,1
327,1372,1
327,2010,1
327,3038,1
327,3462,1
327,3924,1
327,4907,1
327,5419,1
327,6655,3
327,6804,1
327,6837,2
327,8069,1
327,8272,1
327,8443,1
327,8658,4
327,9178,1
327,10591,1
327,10987,3
327,11683,2
327,11750,1
327,11890,4
327,13441,1
327,13448,1
327,13569,4
327,14081,4
390,871,2
390,873,1
390,939,1
390,1028,1
390,1460,1
390,1807,1
390,2092,1
390,2164,1
390,2618,1
390,2653,1
390,3500,2
390,4378,1
390,5117,1
390,6565,1
390,7422,1
390,7975,1
390,7980,2
390,8658,1
390,8707,1
390,9178,1
390,9867,2
390,10144,1
390,11497,1
390,11683,1
390,13411,2
390,13568,1
390,14368,1
427,871,5
427,1683,1
427,1887,1
427,2164,3
427,3500,1
427,3762,1
427,4717,1
427,6837,1
427,7980,4
427,9178,1
427,10610,1
427,11440,3
427,11683,2
427,11977,1
427,12167,1
427,12643,1
427,13411,1
427,13999,1
427,14371,2
440,566,2
440,585,1
440,648,1
440,711,2
440,810,2
440,871,30
440,873,1
440,926,2
440,939,4
440,1032,1
440,1205,3
440,1433,2
440,1437,1
440,1460,3
440,1593,3
440,1807,2
440,2010,5
440,2042,1
440,2044,4
440,2164,4
440,2254,1
440,2282,1
440,2296,3
440,2495,2
440,2618,1
440,2916,1
440,3038,2
440,3462,1
440,3500,7
440,3681,4
440,3762,1
440,3867,1
440,3965,1
440,4350,2
440,4378,3
440,4426,1
440,4718,1
440,4804,4
440,4846,1
440,4907,2
440,4913,3
440,5111,1
440,5117,2
440,5419,3
440,5496,4
440,5523,1
440,5669,1
440,5944,1
440,6066,5
440,6100,2
440,6655,1
440,6666,1
440,6804,1
440,6806,2
440,6837,1
440,6919,3
440,6995,1
440,7006,1
440,7128,4
440,7136,1
440,7233,4
440,7422,1
440,7980,14
440,8069,2
440,8272,1
440,8332,1
440,8658,7
440,8797,1
440,9195,2
440,9290,1
440,9304,2
440,9311,4
440,9325,3
440,9412,3
440,9778,1
440,9867,2
440,10381,1
440,10591,3
440,10610,1
440,10648,2
440,10987,1
440,11148,2
440,11300,1
440,11385,1
440,11458,1
440,11562,1
440,11683,2
440,11748,3
440,11750,2
440,11941,3
440,11977,2
440,11982,1
440,12027,2
440,12053,1
440,12064,1
440,12643,1
440,12771,1
440,13286,1
440,13317,1
440,13411,2
440,13441,1
440,13448,4
440,13569,3
440,13718,1
440,13752,3
440,13809,1
440,13991,1
440,14081,2
440,14187,1
440,14368,3
566,810,1
566,871,19
566,939,1
566,1087,1
566,1372,1
566,1460,2
566,1593,3
566,1683,1
566,1807,2
566,1887,1
566,2010,1
566,2164,10
566,2252,1
566,2254,2
566,2282,2
566,2296,2
566,2495,1
566,2618,1
566,2895,1
566,2916,2
566,2920,1
566,2923,2
566,2924,2
566,3018,1
566,3038,1
566,3310,1
566,3500,9
566,3593,1
566,3681,8
566,3709,1
566,3756,1
566,3762,3
566,3823,2
566,3984,2
566,4357,1
566,4633,4
566,4640,1
566,4642,4
566,4693,1
566,4718,1
566,4741,1
566,4846,1
566,4913,2
566,4939,1
566,4990,4
566,5027,1
566,5099,1
566,5111,3
566,5116,2
566,5124,1
566,5419,7
566,5496,1
566,5523,1
566,5651,1
566,5669,4
566,6014,1
566,6106,1
566,6540,3
566,6565,2
566,6593,1
566,6602,1
566,6655,1
566,6666,2
566,6806,1
566,6995,1
566,7006,3
566,7128,4
566,7136,1
566,7233,1
566,7422,1
566,7980,17
566,8069,2
566,8307,1
566,8332,1
566,8658,4
566,8707,3
