"clust","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"1","569.9999999999999","interacts with","﻿10 (interacts with) 440","false","interacts with","﻿10 (interacts with) 440"
"1","11.32674286418386","interacts with","10 (interacts with) 810","false","interacts with","10 (interacts with) 810"
"5","59.95716005979794","interacts with","10 (interacts with) 871","false","interacts with","10 (interacts with) 871"
"1","9.966536112482007","interacts with","10 (interacts with) 929","false","interacts with","10 (interacts with) 929"
"1","8.346603007129318","interacts with","10 (interacts with) 1087","false","interacts with","10 (interacts with) 1087"
"3","7.180445610040322","interacts with","10 (interacts with) 1437","false","interacts with","10 (interacts with) 1437"
"4","14.35942733443346","interacts with","10 (interacts with) 1460","false","interacts with","10 (interacts with) 1460"
"1","10.70022950370687","interacts with","10 (interacts with) 1593","false","interacts with","10 (interacts with) 1593"
"1","8.653199949710837","interacts with","10 (interacts with) 2252","false","interacts with","10 (interacts with) 2252"
"1","12.00759245228898","interacts with","10 (interacts with) 2254","false","interacts with","10 (interacts with) 2254"
"1","9.43960937154115","interacts with","10 (interacts with) 3261","false","interacts with","10 (interacts with) 3261"
"2","7.670105681904816","interacts with","10 (interacts with) 3363","false","interacts with","10 (interacts with) 3363"
"1","45.231346373999685","interacts with","10 (interacts with) 3500","false","interacts with","10 (interacts with) 3500"
"2","21.099838561270023","interacts with","10 (interacts with) 3681","false","interacts with","10 (interacts with) 3681"
"2","6.641753476647919","interacts with","10 (interacts with) 4846","false","interacts with","10 (interacts with) 4846"
"2","26.320855126908025","interacts with","10 (interacts with) 5419","false","interacts with","10 (interacts with) 5419"
"2","10.764149974730206","interacts with","10 (interacts with) 5496","false","interacts with","10 (interacts with) 5496"
"1","9.4125386733711","interacts with","10 (interacts with) 5523","false","interacts with","10 (interacts with) 5523"
"1","9.381168668881381","interacts with","10 (interacts with) 6100","false","interacts with","10 (interacts with) 6100"
"1","18.457415783531257","interacts with","10 (interacts with) 6655","false","interacts with","10 (interacts with) 6655"
"3","6.692309650712412","interacts with","10 (interacts with) 6806","false","interacts with","10 (interacts with) 6806"
"1","17.185182308727452","interacts with","10 (interacts with) 6837","false","interacts with","10 (interacts with) 6837"
"3","15.086430642344206","interacts with","10 (interacts with) 7128","false","interacts with","10 (interacts with) 7128"
"3","13.332652352386386","interacts with","10 (interacts with) 7135","false","interacts with","10 (interacts with) 7135"
"2","9.1550088776191","interacts with","10 (interacts with) 7198","false","interacts with","10 (interacts with) 7198"
"1","10.61834069849677","interacts with","10 (interacts with) 7233","false","interacts with","10 (interacts with) 7233"
"1","9.12313556066654","interacts with","10 (interacts with) 7422","false","interacts with","10 (interacts with) 7422"
"1","12.751676307441624","interacts with","10 (interacts with) 7975","false","interacts with","10 (interacts with) 7975"
"1","56.287910529371935","interacts with","10 (interacts with) 7980","false","interacts with","10 (interacts with) 7980"
"2","23.335684553019192","interacts with","10 (interacts with) 8069","false","interacts with","10 (interacts with) 8069"
"1","33.081416831117075","interacts with","10 (interacts with) 8658","false","interacts with","10 (interacts with) 8658"
"1","13.724484422172566","interacts with","10 (interacts with) 9304","false","interacts with","10 (interacts with) 9304"
"1","14.081341449437677","interacts with","10 (interacts with) 9311","false","interacts with","10 (interacts with) 9311"
"1","8.097095433894836","interacts with","10 (interacts with) 9412","false","interacts with","10 (interacts with) 9412"
"1","9.313858146211087","interacts with","10 (interacts with) 11555","false","interacts with","10 (interacts with) 11555"
"1","7.008236150514081","interacts with","10 (interacts with) 11748","false","interacts with","10 (interacts with) 11748"
"1","16.708164554765112","interacts with","10 (interacts with) 12027","false","interacts with","10 (interacts with) 12027"
"1","13.121251141900618","interacts with","10 (interacts with) 12173","false","interacts with","10 (interacts with) 12173"
"1","25.52322203678757","interacts with","10 (interacts with) 12643","false","interacts with","10 (interacts with) 12643"
"3","9.102353920881725","interacts with","10 (interacts with) 13326","false","interacts with","10 (interacts with) 13326"
"2","10.220554677397825","interacts with","10 (interacts with) 13568","false","interacts with","10 (interacts with) 13568"
"1","8.4704617092715","interacts with","10 (interacts with) 13752","false","interacts with","10 (interacts with) 13752"
"5","5.781288535180053","interacts with","85 (interacts with) 109","false","interacts with","85 (interacts with) 109"
"2","25.12092617762553","interacts with","85 (interacts with) 440","false","interacts with","85 (interacts with) 440"
"1","25.370184407366654","interacts with","85 (interacts with) 566","false","interacts with","85 (interacts with) 566"
"1","11.126474384238735","interacts with","85 (interacts with) 711","false","interacts with","85 (interacts with) 711"
"2","11.016557528752251","interacts with","85 (interacts with) 810","false","interacts with","85 (interacts with) 810"
"5","64.49303115144382","interacts with","85 (interacts with) 871","false","interacts with","85 (interacts with) 871"
"3","33.50769975098368","interacts with","85 (interacts with) 939","false","interacts with","85 (interacts with) 939"
"1","12.726505600759634","interacts with","85 (interacts with) 1079","false","interacts with","85 (interacts with) 1079"
