id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
10,0,0.7642,0.6858,1,42,67,15,2022.8667,1.2667,1.3722
85,5g,0.9673,0.102,4,40,71,23,2022.6522,1.3478,1.3031
109,6g,1.0853,0.0185,4,38,56,13,2022.5385,3.3077,2.8143
189,accuracy,-0.7849,0.4852,3,47,85,31,2022.9032,0.8065,0.9113
327,adoption,0.2385,0.9642,1,29,53,18,2022.8889,0.8889,0.8644
390,age,-0.6285,0.2406,3,27,32,10,2022.9,0.3,0.3438
427,agreement,-0.5961,0.0644,3,20,33,13,2022.9231,1.0769,0.929
440,ai,-0.1278,0.4925,1,115,266,81,2022.8395,0.7901,0.876
566,algorithm,-0.1472,-0.1567,5,129,304,99,2022.8485,1.9495,1.8855
585,algorithms,-0.0507,0.3241,1,65,118,44,2022.7727,1.9318,2.0605
648,analytics,0.5381,0.951,1,46,75,13,2022.7692,1.8462,2.085
711,anomaly detection,0.5804,-0.1321,4,44,62,22,2022.7273,1.2273,1.2802
810,architecture,0.8132,0.2098,4,72,137,37,2022.7027,3.5946,3.1117
871,artificial intelligence,-0.2544,0.1367,3,274,2388,942,2022.8163,0.88,0.9173
873,artificial intelligence (ai),0.2485,0.2324,4,83,127,51,2022.8431,1.6863,1.6757
926,artificial neural network,0.3178,-0.4245,6,29,37,17,2022.8235,0.3529,0.3811
929,artificial neural networks,0.3012,-0.2436,6,40,60,21,2022.8095,1,1.0137
939,artificial-intelligence,-0.092,0.4111,1,165,480,133,2022.8722,0.7744,0.8188
1028,attention,-0.2452,-0.6377,2,40,53,18,2022.9444,2.1111,2.4191
1032,attention mechanism,-0.1561,-0.8696,2,33,41,26,2022.8077,0.9231,0.8443
1079,augmented reality,-0.0481,0.9292,1,28,46,17,2022.7647,0.2941,0.3137
1087,authentication,1.0968,-0.2672,4,27,47,11,2022.8182,2.0909,2.3599
1205,automation,0.2373,0.5696,1,50,80,22,2022.9091,0.2273,0.2604
1224,autonomous driving,0.1627,-0.0598,5,32,42,16,2022.8125,0.3125,0.3333
1250,autonomous vehicles,0.5688,0.1715,5,32,39,12,2023,0.5,0.5729
1372,behavior,0.3785,0.3809,1,28,48,19,2022.8421,1.1579,1.2851
1433,bias,0.41,0.4727,1,21,35,11,2022.7273,1.1818,1.138
1437,bibliometric analysis,0.1673,0.8993,1,64,114,26,2022.8846,1.2692,1.4391
1441,bibliometrics,0.1964,0.6322,1,23,30,10,2022.9,0.2,0.2292
1460,big data,0.5545,0.5772,1,108,269,61,2022.8197,1.1803,1.3135
1593,blockchain,0.8862,0.1841,4,80,190,58,2022.7586,1.8966,1.8998
1654,brain,-0.6302,-0.3642,2,24,35,12,2022.8333,2.9167,3.177
1683,breast cancer,-0.88,-0.0238,3,26,43,13,2022.8462,0.9231,1.0577
1807,cancer,-0.9847,-0.0535,3,64,126,31,2022.9355,0.9677,1.0833
1887,care,-0.4165,0.7442,1,42,57,16,2022.875,1,1.0715
2010,challenges,0.5316,0.2711,4,119,251,49,2022.8571,1.4286,1.5237
2042,chatbot,-0.4973,0.8241,3,23,35,10,2022.8,0.7,0.6832
2044,chatgpt,-0.4128,-0.1791,2,26,54,35,2023,1.6286,1.8661
2092,children,-0.2695,0.4751,1,36,45,12,2022.6667,0.5833,0.5693
2138,citespace,-0.2975,0.5502,1,29,39,12,2023,0.9167,1.0504
2164,classification,-0.4816,-0.2933,2,169,589,175,2022.8286,1.6571,1.7539
2252,cloud,0.967,0.214,4,39,52,11,2022.7273,5.9091,4.6086
2254,cloud computing,0.7555,-0.2279,4,82,153,41,2022.8537,4.3171,4.3473
2282,clustering,-0.189,-0.4523,2,33,41,19,2022.5789,1,0.7703
2296,cnn,-0.4527,-0.6055,2,54,102,34,2022.7941,1.8235,1.8974
2368,codes,0.4826,-0.6937,6,30,51,16,2022.9375,0.5,0.5482
2495,communication,0.7572,0.4477,4,68,105,24,2022.875,1.2083,1.3185
2606,computational modeling,0.8623,-0.6198,4,45,83,18,2022.9444,7.7222,7.5712
2618,computed tomography,-0.982,0.5479,3,27,34,12,2023,0.9167,1.0504
2623,computed-tomography,-1.0859,0.601,3,25,36,12,2023,1.1667,1.3369
2635,computer architecture,0.5908,-0.6483,6,51,70,16,2022.8125,14.5625,11.2106
2653,computer vision,-0.7089,-0.5635,2,49,113,53,2022.8679,0.3208,0.3601
2867,contrastive learning,-0.5612,-0.7156,2,8,8,15,2022.8667,0.0667,0.1431
2895,convergence,0.8269,0.0871,4,34,45,12,2023,0.5833,0.6684
2916,convolutional neural network,-0.3277,-0.7295,2,56,111,46,2022.8478,0.6739,0.6947
2920,convolutional neural networks,-0.1346,-0.6677,2,44,63,27,2022.8519,0.8889,1.0186
2923,convolutional neural-network,-0.6048,-0.5537,2,39,61,13,2022.8462,4.9231,5.5193
2924,convolutional neural-networks,-0.5654,-0.2775,2,46,81,17,2022.8824,4.2353,4.8298
3018,costs,0.9774,-0.2197,4,46,72,16,2022.875,5.5,6.2032
3038,covid-19,-0.6952,0.1463,3,68,139,52,2022.8077,1.2885,1.366
3161,ct,-1.0915,0.1243,3,35,58,18,2022.9444,0.2778,0.2963
3247,cyber-physical systems,0.5834,0.101,5,26,37,11,2022.9091,1.2727,1.4224
3261,cybersecurity,0.7189,0.0988,4,50,75,23,2023,0.3913,0.4484
3310,data analysis,-0.0014,-0.6801,2,21,30,11,2022.9091,0.3636,0.3806
3315,data augmentation,-0.3272,-0.8517,2,18,24,12,2022.75,0.3333,0.3489
3344,data mining,0.1069,-0.7288,2,32,46,18,2022.8889,1.6667,1.6014
3347,data models,0.4372,-0.5123,2,66,127,28,2022.8929,2.1786,2.015
3363,data science,0.661,0.8509,1,37,57,13,2022.8462,0.6154,0.6442
3406,dataset,-0.7841,-0.7421,2,21,26,11,2022.8182,2.7273,3.0891
3451,decision making,0.4393,-0.3834,6,32,42,15,2023,7.1333,8.1739
3462,decision-making,0.3902,0.6851,1,48,83,27,2022.8519,0.4444,0.4799
3479,deep,-0.2473,-0.7667,2,38,64,18,2022.8333,3.3333,3.6654
3500,deep learning,-0.4533,-0.3603,2,215,1093,396,2022.8106,1.4545,1.3609
3525,deep neural network,0.2214,-0.7075,5,14,16,11,2022.7273,0.4545,0.5209
3535,deep reinforcement learning,1.1454,-0.1991,4,20,26,18,2022.7778,0.7778,0.8912
3593,delays,1.1467,-0.0416,4,29,46,11,2022.9091,5.1818,4.2077
3681,design,0.0428,0.2089,6,130,334,119,2022.8235,0.8655,0.8486
3709,detection,-0.7807,-0.0797,2,33,42,11,2022.9091,3.4545,3.9585
3756,diabetic retinopathy,-1.0047,0.2782,3,27,54,15,2022.6,3,2.354
3762,diagnosis,-0.8285,0.1155,3,96,259,68,2022.8676,1.0147,1.0986
3823,differential evolution,0.3366,-0.1258,5,12,18,11,2022.9091,2,2.3466
3867,digital health,-0.2737,0.9704,1,35,54,14,2022.7857,0.5714,0.5698
3892,digital pathology,-1.1577,-0.1766,3,15,20,10,2023,0.5,0.5729
3914,digital twin,0.4983,0.6228,1,46,69,24,2022.625,1.25,1.1515
3924,digitalization,0.3399,1.0485,1,24,33,11,2022.8182,0.1818,0.2083
3965,discovery,-0.0709,-0.5075,6,26,33,13,2023,0.6154,0.7052
3984,disease,-1.1532,0.2046,3,40,79,21,2022.8571,1,1.0704
4165,drug discovery,0.4098,-0.832,6,22,34,10,2022.9,2.9,3.3231
4262,dynamics,0.1742,-0.1756,5,26,35,15,2022.8667,1.1333,1.0344
4350,edge,0.8898,-0.1579,4,37,53,11,2022.6364,1,0.8575
4357,edge computing,0.8704,-0.0425,4,79,158,48,2022.7083,1.7292,1.7171
4378,education,-0.1984,0.6699,1,45,77,29,2022.6207,0.7586,0.8283
4400,eeg,-0.1112,-0.4035,2,23,31,12,2022.9167,4.5833,5.252
4411,efficient,0.2539,-0.3318,6,33,36,13,2023,1.0769,1.234
4426,ehealth,-0.314,0.8971,1,31,48,10,2022.7,0.6,0.4893
4572,emotion recognition,-0.2401,-0.5249,2,28,37,13,2022.6923,3.2308,3.6411
4589,empirical study,0.5892,-0.4481,5,15,18,11,2022.8182,0.6364,0.7292
4633,energy,0.0763,0.0767,6,52,90,29,2022.9655,0.4138,0.5086
4640,energy consumption,1.1766,-0.1399,4,32,45,11,2022.8182,1.1818,0.9217
4642,energy efficiency,1.072,0.1115,4,45,71,15,2022.8,1.6667,1.3019
4693,ensemble,-0.1976,-0.0133,5,24,29,10,2023,1.2,1.3751
4696,ensemble learning,0.1258,-0.938,6,18,25,11,2022.9091,1.0909,0.9617
4717,entropy,0.0312,-0.4353,2,23,26,11,2022.7273,8,9.131
4718,environment,-0.0594,0.5995,1,34,39,11,2023,0.4545,0.5209
4741,epidemiology,-0.7817,0.2454,3,21,24,10,2023,0.5,0.5729
4804,ethics,0.4013,0.7909,1,52,97,27,2022.8148,1.4815,1.6535
4846,evolution,0.5168,0.8375,1,48,71,12,2022.9167,1.0833,1.0431
4907,explainability,0.5784,0.7071,1,34,55,13,2022.8462,0.4615,0.4679
4910,explainable ai,-0.3572,-0.573,2,32,39,19,2022.6316,0.6842,0.7632
4913,explainable artificial intelligence,0.2064,-0.426,5,35,50,34,2022.7941,1.5294,1.5543
4939,expression,-1.0137,-0.2188,3,23,28,12,2022.8333,0.6667,0.5987
4990,face recognition,-0.8617,-0.5948,2,22,35,15,2022.7333,0.2667,0.2263
5027,fairness,0.4724,0.3357,1,28,39,11,2022.9091,0.0909,0.1042
5065,fault detection,0.6679,-0.6934,6,18,22,10,2022.8,0.5,0.5729
5067,fault diagnosis,0.0775,-0.8025,6,16,18,12,2022.6667,0.5833,0.6684
5099,feature extraction,-0.14,-0.9624,2,54,104,34,2022.7647,7.3824,5.7423
5111,feature selection,-0.3189,-0.4186,2,40,68,24,2022.875,0.4583,0.4756
5116,feature-selection,-0.284,-0.2925,2,55,84,19,2022.9474,2.1053,2.3706
5117,features,-0.7025,-0.1777,3,67,116,25,2022.92,0.64,0.7334
5124,federated learning,0.7706,-0.292,4,59,101,37,2022.6216,1,0.9423
5295,flow,-0.0133,-0.3055,5,25,30,11,2023,0.3636,0.4167
5396,fpga,0.2546,-0.892,6,19,28,13,2022.7692,0.6923,0.6408
5419,framework,0.3155,-0.0235,4,156,368,87,2022.8276,2.1034,1.8726
5490,fusion,-0.5189,-0.5496,2,20,22,10,2022.9,7.4,8.4795
5496,future,0.0054,0.8659,1,79,161,32,2022.9375,1.0938,1.2474
